GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine	1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine	literature limited	literature limited	lipid		phosphocholine	multiple sources	multiple sources	multiple sources	multiple sources	literature limited	literature limited				yes		yes	no	literature limited	literature limited
1-diazo-3-phenylacetone	1-diazo-3-phenylacetone	InChI=1S/C9H8N2O/c10-11-7-9(12)6-8-4-2-1-3-5-8/h1-5,7H,6H2/b9-7+	C1=CC=C(C=C1)CC(=C[N+]#N)[O-]				unknown	unknown	unknown	unknown						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/016394740
1-Docosahexaenoyl-2-stearoyl-sn-glycero-3-phosphocholine	1-Docosahexaenoyl-2-stearoyl-sn-glycero-3-phosphocholine	literature limited	literature limited	lipid		phosphocholine	multiple sources	multiple sources	multiple sources	multiple sources	literature limited	literature limited				yes		yes	no	literature limited	literature limited
1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine	1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine	literature limited	literature limited	lipid	phospholipid	glycerophospholipid	multiple sources	multiple sources	multiple sources	multiple sources	literature limited	literature limited				yes		yes	no	literature limited	literature limited
1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine	1-Hexadecanoyl-2-(5,8,11,14-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine	InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h11,13,17-18,20,22,26,28,39H,3-10,12,14-16,19,21,23-25,27,29-38,42H2,1-2H3,(H,45,46)/b13-11-,18-17-,22-20-,28-26-/t39-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC	lipid	phospholipid	glycerophospholipid	multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/9546800
1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	1-Hexadecanoyl-2-(9-octadecenoyl)-sn-glycero-3-phosphocholine	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/popc
1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine	1-Hexadecanoyl-2-(9-octadecenoyl)-sn-glycero-3-phosphoethanolamine	InChI=1S/C39H76NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-18,37H,3-16,19-36,40H2,1-2H3,(H,43,44)/b18-17-/t37-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC	lipid	phospholipid	glycerophospholipid	multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/5283496
1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine	1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine	literature limited	literature limited	lipid		phosphocholine	multiple sources	multiple sources	multiple sources	multiple sources						yes		yes	no	literature limited	literature limited
1-Hexadecanoyl-2-sn-glycero-3-phosphate	1-Hexadecanoyl-2-sn-glycero-3-phosphate	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes		yes	no	literature limited	literature limited
1-Hexanamine, 6-[4-(1H-imidazol-1-yl)phenoxy]-N,N-dimethyl-	6-[4-(1H-imidazol-1-yl)phenoxy]-N,N-dimethyl-1-hexanamine	InChI=1S/C17H25N3O/c1-19(2)12-5-3-4-6-14-21-17-9-7-16(8-10-17)20-13-11-18-15-20/h7-11,13,15H,3-6,12,14H2,1-2H3	CN(C)CCCCCCOC1=CC=C(C=C1)N2C=CN=C2				unknown	unknown	unknown	unknown						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/10108128
Spectral Match to Heptadecasphinganine from NIST14	(2,3)-2-Aminoheptadecane-1,3-diol	InChI=1S/C17H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(20)16(18)15-19/h16-17,19-20H,2-15,18H2,1H3/t16-,17+/m0/s1	CCCCCCCCCCCCCCC(C(CO)N)O	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3247037#section=Top
Putative (3-hydroxyheptadecanoyl)glycine	(3-hydroxyheptadecanoyl)glycine	InChI=1S/C19H37NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)15-18(22)20-16-19(23)24/h17,21H,2-16H2,1H3,(H,20,22)(H,23,24)	O=C(O)CNC(CC(O)CCCCCCCCCCCCCC)=O	lipid	N-acyl Amides	N-acyl Amides	bacteria	bacteria	bacteria produced	bacteria produced, species unknown							yes	no	yes		https://doi.org/10.1073/pnas.1508737112
Putative Commendamide	(3-hydroxyhexadecanoyl)glycine	InChI=1S/C18H35NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(20)14-17(21)19-15-18(22)23/h16,20H,2-15H2,1H3,(H,19,21)(H,22,23)	OC(CNC(CC(O)CCCCCCCCCCCCC)=O)=O	lipid	N-acyl Amides	N-acyl Amides	bacteria	bacteria	bacteria produced	Bacteroides metabolite							yes	no	yes	GPCR	https://doi.org/10.1073/pnas.1508737112;https://www.caymanchem.com/product/18421
Putative (3-hydroxypentadecanoyl)lysine	(3-hydroxypentadecanoyl)lysine	InChI=1S/C21H42N2O4/c1-2-3-4-5-6-7-8-9-10-11-14-18(24)17-20(25)23-19(21(26)27)15-12-13-16-22/h18-19,24H,2-17,22H2,1H3,(H,23,25)(H,26,27)/t18?,19-/m0/s1	NCCCC[C@@H](C(O)=O)NC(CC(O)CCCCCCCCCCCC)=O	lipid	N-acyl Amides	N-acyl Amides	bacteria	bacteria	bacteria produced	bacteria produced, species unknown							yes	no	yes		https://doi.org/10.1073/pnas.1508737112
1-hydroxymidazolam	1'-Hydroxymidazolam	InChI=1S/C18H13ClFN3O/c19-11-5-6-16-14(7-11)18(13-3-1-2-4-15(13)20)22-9-12-8-21-17(10-24)23(12)16/h1-8,24H,9-10H2	C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO	drug	drug metabolite		drug	drug	drug metabolite	drug metabolite	benzodiazepine	midazolam metabolite	yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/107917
14,15-Epoxyeicosa-5(Z)-enoic acid	14,15-Epoxyeicosa-5-enoic acid			lipid				multiple sources	multiple sources	multiple sources							yes	no	yes		https://www.ncbi.nlm.nih.gov/pubmed/12016270
2-(2-nonen-1-yl)-4-Quinolinol	2-(2-nonen-1-yl)-4-Quinolinol	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited		yes	no	yes	literature limited	literature limited
Spectral Match to 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine from NIST14	2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine	InChI=1S/C20H23N/c1-4-19-20(15-16(2)21(19)3,17-11-7-5-8-12-17)18-13-9-6-10-14-18/h4-14,16H,15H2,1-3H3/b19-4-	CC=C1C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3	drug	drug metabolite		drug	drug	drug metabolite	drug metabolite	opioid	methadone metabolite	yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5378015
Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14	9-Hydroxy-10,12,15-octadecatrienoic acid	InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14,17,19H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3+,8-6+,14-11+	CCC=CCC=CC=CC(CCCCCCCC(=O)O)O	lipid	fatty acid			food	food	plant							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/13917187
putative - Cer(d19:0/17:0 2-OH)	Cer(d19:0/17:0 2-OH)	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited		yes	no	yes	literature limited	literature limited
Cholesta-4,6-dien-3-one	Cholesta-4,6-dien-3-one	InChI=1S/C27H42O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,17-19,22-25H,6-8,11-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C	lipid	steroid		multiple sources	multiple sources	multiple sources	multiple sources							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Cholesta-4_6-dien-3-one#section=Top
Spectral Match to Cholesta-4,6-dien-3-one from NIST14	Cholesta-4,6-dien-3-one	InChI=1S/C27H42O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,17-19,22-25H,6-8,11-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C	lipid	steroid		multiple sources	multiple sources	multiple sources	multiple sources							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Cholesta-4_6-dien-3-one#section=Top
putative Dihydrosphingosine (19:0)	Dihydrosphingosine (19:0)	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited		yes	no	yes	literature limited	literature limited
MLS001077282-01!	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	yes	no	yes	disregard	disregard
unpublished ME5.F6	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	disregard	yes	no	yes	disregard	disregard
Dodeca-2(E),4(E)-dienoic acid	Dodeca-2,4,dienoic acid	InChI=1S/C12H20O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h8-11H,2-7H2,1H3,(H,13,14)	CCCCCCCC=CC=CC(=O)O	lipid	fatty acid			multiple sources	multiple sources	multiple sources							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/25480
49562-28-9	Fenofibrate	InChI=1S/C20H21ClO4/c1-13(2)24-19(23)20(3,4)25-17-11-7-15(8-12-17)18(22)14-5-9-16(21)10-6-14/h5-13H,1-4H3	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	drug	drug		drug	drug	drug	drug	antihyperlipidemic		yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3339
Fenofibrate [2M+Na]	Fenofibrate	InChI=1S/C20H21ClO4/c1-13(2)24-19(23)20(3,4)25-17-11-7-15(8-12-17)18(22)14-5-9-16(21)10-6-14/h5-13H,1-4H3	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	drug	drug		drug	drug	drug	drug	antihyperlipidemic		yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3339
Hydroxychloroquine	Hydroxychloroquine	InChI=1S/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)	CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO	drug	drug		drug	drug	drug	drug	antimalarial		yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/hydroxychloroquine
Spectral Match to Hydroxychloroquine from NIST14	Hydroxychloroquine	InChI=1S/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)	CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO	drug	drug		drug	drug	drug	drug	antimalarial		yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/hydroxychloroquine
Leucocholic acid	Leucocholic acid			lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite							yes	no	yes		unpublished results
PC(0:0/18:1); [M+H]+ C26H53N1O7P1	LysoPC(18:1)	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h10-11,25,28H,5-9,12-24H2,1-4H3/b11-10-/t25-/m1/s1	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	lysophospholipid		multiple sources	multiple sources	multiple sources	multiple sources							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/53480465
massetolide_F_10208_dereplictor_pv_2.46093e-27	Massetolide_F	InChI=1S/C54H95N9O16/c1-13-14-15-16-17-18-34(66)25-42(67)55-36(21-28(2)3)47(71)56-35(19-20-43(68)69)46(70)63-45-33(12)79-54(78)39(24-31(8)9)59-51(75)41(27-65)61-48(72)37(22-29(4)5)57-50(74)40(26-64)60-49(73)38(23-30(6)7)58-52(76)44(32(10)11)62-53(45)77/h28-41,44-45,64-66H,13-27H2,1-12H3,(H,55,67)(H,56,71)(H,57,74)(H,58,76)(H,59,75)(H,60,73)(H,61,72)(H,62,77)(H,63,70)(H,68,69)/t33-,34-,35-,36+,37+,38+,39+,40-,41-,44-,45-/m1/s1	CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)C)CC(C)C)CO)CC(C)C)CO)CC(C)C)C)O	amino acid / peptide	cyclic peptide	cyclic peptide	bacteria	bacteria	bacteria produced	Psuedomonas metabolite							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/101701399#section=Top;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2293227/;https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2672.1999.00798.x
Methylprednisolone succinate	Methylprednisolone Hemisuccinate	InChI=1S/C26H34O8/c1-14-10-16-17-7-9-26(33,20(29)13-34-22(32)5-4-21(30)31)25(17,3)12-19(28)23(16)24(2)8-6-15(27)11-18(14)24/h6,8,11,14,16-17,19,23,28,33H,4-5,7,9-10,12-13H2,1-3H3,(H,30,31)/t14-,16-,17-,19-,23+,24-,25-,26-/m0/s1	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CCC(=O)O)O	drug	drug		drug	drug	drug	drug	glucocorticoid		yes	pharmaceutical			yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/16923#section=Top
Massbank:EA273803 Ranitidine N-oxide|1,1-Ethenediamine, N-(2-(((5-((dimethylamino)methyl)-2-furanyl)methyl)thio)ethyl)-N'-methyl-2-nitro-, N-oxide	Ranitidine N-oxide	InChI=1S/C13H22N4O4S/c1-14-13(8-16(18)19)15-6-7-22-10-12-5-4-11(21-12)9-17(2,3)20/h4-5,8,14-15H,6-7,9-10H2,1-3H3/b13-8+	CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)C[N+](C)(C)[O-]	drug	drug metabolite		drug	drug	drug metabolite	drug metabolite	h2 blocker	ranitidine metabolite	yes	pharmaceutical			yes	no	yes	Zantac metabolite	https://pubchem.ncbi.nlm.nih.gov/compound/Ranitidine_N-oxide#section=Top
1,2,3,4-tetrahydroharmane-3-carboxylic acid	Tetrahydroharman-3-carboxylic acid	InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)	CC1C2=C(CC(N1)C(=O)O)C3=CC=CC=C3N2					food	food	food						yes	yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5470-37-1#section=Top
Tyrosocholic acid	Tyrosocholic acid			lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite							yes	no	yes		unpublished results
(2R)-3-Hydroxyisovaleroylcarnitine	(2R)-3-Hydroxyisovaleroylcarnitine																	no	no		
"(4R)-4-[(5S,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3,7,12-trioxo-1,2,4,5,6,8,9,11,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid"	Dehydrocholic acid	InChI=1S/C24H34O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-14,16-18,22H,4-12H2,1-3H3,(H,28,29)/t13-,14+,16-,17+,18+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C				drug	drug	drug	drug	steroid		yes	pharmaceutical		yes	yes	yes	yes	semi-synethic bile acid analog	https://pubchem.ncbi.nlm.nih.gov/compound/6674#section=Top
1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	InChI=1S/C48H84NO7P/c1-6-8-10-12-14-16-18-20-22-24-25-26-27-29-31-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-32-30-28-23-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,25-26,29,31,35,37,40,43,47H,6-7,9,11-13,15,17-19,21,23-24,27-28,30,32-34,36,38-39,41-42,44-46H2,1-5H3/b10-8-,16-14-,22-20-,26-25-,31-29-,37-35-,43-40-/t47-/m1/s1	CCCCCCCCCCCCCCCCC=COCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC	lipid	phospholipid													no	no		https://pubchem.ncbi.nlm.nih.gov/compound/42607430#section=Top
Spectral Match to 1-(1Z-Octadecenyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine from NIST14	1-(1Z-Octadecenyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine																	no	no		
1-(1Z-Octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	1-(1Z-Octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine																	no	no		
"MLS000863647-01!(E)-1-(2,3-dihydroxy-4,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one"	1-(2,3-dihydroxy-4,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one																	no	no		
Spectral Match to 1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine from NIST14	1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine	literature limited	literature limited	lipid	phospholipid	glycerophospholipid	multiple sources	multiple sources	multiple sources	multiple sources	literature limited	literature limited						no	no		
"MLS001203376-01!1-methyl-9H-pyrido[3,4-b]indole-3-carboxylic acid"	1-methyl-9H-pyrido[3,4-b]indole-3-carboxylic acid																	no	no		
1-O-Hexadecyl-2-deoxy-2-thio-S-acetyl-sn-glyceryl-3-phosphorylcholine	1-O-Hexadecyl-2-deoxy-2-thio-S-acetyl-sn-glyceryl-3-phosphorylcholine	InChI=1S/C26H54NO6PS/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-31-23-26(35-25(2)28)24-33-34(29,30)32-22-20-27(3,4)5/h26H,6-24H2,1-5H3/t26-/m1/s1	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)SC(=O)C															no	no		https://pubchem.ncbi.nlm.nih.gov/compound/10347222#section=Top
1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine	1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine	InChI=1S/C26H56NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-31-24-26(28)25-33-34(29,30)32-23-21-27(2,3)4/h26,28H,5-25H2,1-4H3/t26-/m1/s1	CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)O	lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/2733532#section=Computed-Descriptors
1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine	1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine			lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources								no	no		
1-Palmitoyl-2-(4-ketododec-3-enedioyl)phosphatidylcholine	1-Palmitoyl-2-(4-ketododec-3-enedioyl)phosphatidylcholine																	no	no		
1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine	1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine			lipid	phospholipid													no	no		
1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphate	1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphate	InChI=1S/C37H69O8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(39)45-35(34-44-46(40,41)42)33-43-36(38)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,35H,3-10,12,14-16,19-34H2,1-2H3,(H2,40,41,42)/b13-11-,18-17-/t35-/m1/s1	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCC=CCC=CCCCCC															no	no		https://pubchem.ncbi.nlm.nih.gov/compound/9547167#section=Top
1-Palmitoyl-2-stearoyl-sn-glycero-3-phosphocholine	1-Palmitoyl-2-stearoyl-sn-glycero-3-phosphocholine	InChI=1S/C42H84NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h40H,6-39H2,1-5H3/t40-/m1/s1	CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	lipid	phospholipid													no	no		https://pubchem.ncbi.nlm.nih.gov/compound/24778686
1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-myo-inositol)	1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-myo-inositol)																	no	no		
1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine	1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine			lipid	phospholipid													no	no		
1-Stearoyl-2-linoleoyl-sn-glycero-3-phospho-L-serine	1-Stearoyl-2-linoleoyl-sn-glycero-3-phospho-L-serine																	no	no		
Spectral Match to 1,2-Di-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14	1,2-Di-(9-octadecenoyl)-sn-glycero-3-phosphoethanolamine																	no	no		
Spectral Match to 1,2-Di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine from NIST14	1,2-Di-(9-tetradecenoyl)-sn-glycero-3-phosphocholine																	no	no		
1,2-Dieicosenoyl-sn-glycero-3-phosphocholine	1,2-Dieicosenoyl-sn-glycero-3-phosphocholine																	no	no		
1,2-Dilauroyl-sn-glycero-3-phosphate	1,2-Dihexadecanoyl-sn-glycerol	InChI=1S/C35H68O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(37)39-32-33(31-36)40-35(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33,36H,3-32H2,1-2H3/t33-/m0/s1	CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCC	lipid	diglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes		no	no		https://pubchem.ncbi.nlm.nih.gov/compound/1_2-Dipalmitoyl-sn-glycerol
Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine																	no	no		
1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine	1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine																	no	no		
Spectral Match to 1,2-Dioctanoyl-sn-glycerol from NIST14	1,2-Dioctanoyl-sn-glycerol						multiple sources	multiple sources	multiple sources	multiple sources								no	no		
10-Undecynoic acid	10-Undecynoic acid																	no	no		
Massbank:EA270105 10,11-trans-Dihydroxy-10,11-dihydrocarbamazepine|(5S,6S)-5,6-bis(oxidanyl)-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide	10,11-Dihydroxy-10,11-dihydrocarbamazepine|(5S,6S)-5,6-bis(oxidanyl)-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide																	no	no		
11.beta.-Misoprostol	11-beta-Misoprostol																	no	no		
11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid	11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid																	no	no		
.DELTA.12-Prostaglandin D2	12-Prostaglandin D2																	no	no		
13-cis-Retinoic acid	13-Retinoic acid																	no	no		
Spectral Match to 15-OxoEDE from NIST14	15-OxoEDE																	no	no		
15(S)-Hydroxy-(5Z,8Z,11Z,13E)-eicosatetraenoic acid	15(S)-Hydroxy-(5Z,8Z,11Z,13E)-eicosatetraenoic acid							multiple sources	multiple sources	multiple sources								no	no		
16-Oxoandrostenediol	16-Oxoandrostenediol																	no	no		
Spectral Match to 19(20)-EpDPE from NIST14	19(20)-EpDPE																	no	no		
2-Aminoanthraquinone	2-Aminoanthraquinone							multiple sources										no	no	intermediate for the synthesis of both anthraquinone dyes and pharmaceutical products	https://pubchem.ncbi.nlm.nih.gov/compound/2-aminoanthraquinone#section=Top
